Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes,Latitude,Longitude
AB,Aberdeen,499692,218798,39158,17318,6,57.2998,-2.3068
AL,St Albans,249911,99209,11443,7797,0,51.7756,-0.283314
B,Birmingham,1904293,750842,62242,41843,0,52.465,-1.88853
BA,Bath,434539,183530,20425,15453,0,51.229,-2.41717
BB,Blackburn,488564,202015,19181,13458,0,53.7871,-2.33461
BD,Bradford,578374,223952,23701,17176,12,53.8291,-1.82914
BF,British Forces,,,48,48,0,36.3495,-4.67733
BH,Bournemouth,552110,242907,22559,15258,0,50.7506,-1.89124
BL,Bolton,379929,159979,14061,10359,0,53.5868,-2.40779
BN,Brighton,802838,356367,35594,22306,1,50.829,-0.120324
BR,Bromley,299157,124954,10706,6820,0,51.3943,0.0424007
BS,Bristol,940076,398197,46232,27211,0,51.4489,-2.62232
BT,Northern Ireland,1787720,693967,62669,49845,839,54.6041,-6.38088
CA,Carlisle,318114,140587,16471,12819,0,54.7319,-3.10705
CB,Cambridge,421151,167640,19500,10978,0,52.2069,0.189571
CF,Cardiff,1005305,419896,42828,23352,0,51.5342,-3.29405
CH,Chester,659880,285880,24581,19011,0,53.2905,-3.02022
CM,Chelmsford,653626,270044,27949,18335,0,51.7587,0.403373
CO,Colchester,411411,176939,18432,13582,0,51.9026,0.92442
CR,Croydon,405236,158695,14980,7994,0,51.356,-0.103515
CT,Canterbury,482627,206290,20153,15107,0,51.2555,1.23166
CV,Coventry,821033,341504,28867,20910,0,52.3669,-1.5006
CW,Crewe,309487,130803,14329,9731,0,53.1548,-2.44972
DA,Dartford,430139,173329,13181,9161,0,51.4423,0.22165
DD,Dundee,280568,128312,11490,9085,0,56.5369,-2.86435
DE,Derby,730125,306586,30578,17740,0,52.9327,-1.49246
DG,Dumfries and Galloway,151139,67885,7801,6883,3,55.023,-3.87823
DH,Durham,309030,132814,11662,9110,0,54.825,-1.61307
DL,Darlington,360734,156814,16915,13424,0,54.5328,-1.65884
DN,Doncaster,756058,320303,28337,22072,0,53.541,-0.72216
